,wall_time,step,value,dataset,resolution,model_step,sampler,fad_model,reference_dataset
0,1716266873.1143997,0,0.39285027980804443,ds,"64,64",500,ddpm,clap-laion-audio,drum_samples
1,1716266965.2684734,0,0.4305535852909088,ds,"64,64",500,ddpm,clap-laion-music,drum_samples
2,1716267057.5113084,0,11.005616188049316,ds,"64,64",500,ddpm,encodec-emb-48k,drum_samples
3,1716267096.1586373,0,58.339176177978516,ds,"64,64",500,ddpm,encodec-emb,drum_samples
4,1716267156.347201,0,48.43282699584961,ds,"64,64",500,ddpm,MERT-v1-95M,drum_samples
5,1716267159.5512767,0,1.214158296585083,ds,"64,64",500,ddpm,clap-laion-audio,fma_pop
6,1716267162.4633682,0,1.1803200244903564,ds,"64,64",500,ddpm,clap-laion-music,fma_pop
7,1716267186.471871,0,108.5444107055664,ds,"64,64",500,ddpm,encodec-emb-48k,fma_pop
8,1716267189.0078583,0,713.3106689453125,ds,"64,64",500,ddpm,encodec-emb,fma_pop
9,1716267192.3103118,0,49.417728424072266,ds,"64,64",500,ddpm,MERT-v1-95M,fma_pop
10,1716267195.096071,0,1.1606738567352295,ds,"64,64",500,ddpm,clap-laion-audio,musiccaps
11,1716267197.797357,0,1.1145837306976318,ds,"64,64",500,ddpm,clap-laion-music,musiccaps
12,1716267218.116655,0,77.64131927490234,ds,"64,64",500,ddpm,encodec-emb-48k,musiccaps
13,1716267220.4882448,0,561.3099365234375,ds,"64,64",500,ddpm,encodec-emb,musiccaps
14,1716267223.6534588,0,41.265663146972656,ds,"64,64",500,ddpm,MERT-v1-95M,musiccaps
15,1716267505.8070073,0,0.39116793870925903,ds,"64,64",500,ddim,clap-laion-audio,drum_samples
16,1716267543.2117932,0,0.4250953793525696,ds,"64,64",500,ddim,clap-laion-music,drum_samples
17,1716267595.5474577,0,11.168461799621582,ds,"64,64",500,ddim,encodec-emb-48k,drum_samples
18,1716267619.647209,0,58.267822265625,ds,"64,64",500,ddim,encodec-emb,drum_samples
19,1716267652.9894052,0,47.42578887939453,ds,"64,64",500,ddim,MERT-v1-95M,drum_samples
20,1716267655.8834429,0,1.2383770942687988,ds,"64,64",500,ddim,clap-laion-audio,fma_pop
21,1716267658.9107635,0,1.1866419315338135,ds,"64,64",500,ddim,clap-laion-music,fma_pop
22,1716267679.5489602,0,109.7141342163086,ds,"64,64",500,ddim,encodec-emb-48k,fma_pop
23,1716267681.9640827,0,724.7565307617188,ds,"64,64",500,ddim,encodec-emb,fma_pop
24,1716267685.1699324,0,49.77484893798828,ds,"64,64",500,ddim,MERT-v1-95M,fma_pop
25,1716267687.8854518,0,1.1846131086349487,ds,"64,64",500,ddim,clap-laion-audio,musiccaps
26,1716267690.546402,0,1.1225063800811768,ds,"64,64",500,ddim,clap-laion-music,musiccaps
27,1716267711.1073866,0,78.6808090209961,ds,"64,64",500,ddim,encodec-emb-48k,musiccaps
28,1716267713.5416105,0,571.5921630859375,ds,"64,64",500,ddim,encodec-emb,musiccaps
29,1716267716.9869134,0,41.72429656982422,ds,"64,64",500,ddim,MERT-v1-95M,musiccaps
30,1716266787.9689438,0,0.2694578766822815,ds,"64,64",10000,ddim,clap-laion-audio,drum_samples
31,1716266797.9483778,0,0.3102806806564331,ds,"64,64",10000,ddim,clap-laion-music,drum_samples
32,1716266826.9302514,0,11.472311973571777,ds,"64,64",10000,ddim,encodec-emb-48k,drum_samples
33,1716266836.8373435,0,45.48723220825195,ds,"64,64",10000,ddim,encodec-emb,drum_samples
34,1716266846.4611535,0,26.609603881835938,ds,"64,64",10000,ddim,MERT-v1-95M,drum_samples
35,1716266849.2763202,0,1.2200113534927368,ds,"64,64",10000,ddim,clap-laion-audio,fma_pop
36,1716266852.026132,0,1.155362844467163,ds,"64,64",10000,ddim,clap-laion-music,fma_pop
