,wall_time,step,value,dataset,resolution,model_step,sampler,vae,num_fad_samples,fad_model,reference_dataset
0,1716266052.924708,0,0.5899614095687866,ssd,256,40000,ddpm,,1600,clap-laion-audio,spotify_sleep_dataset
1,1716266108.625991,0,0.5942221879959106,ssd,256,40000,ddpm,,1600,clap-laion-music,spotify_sleep_dataset
2,1716266116.905505,0,6.104685306549072,ssd,256,40000,ddpm,,1600,vggish,spotify_sleep_dataset
3,1716266181.9356916,0,23.567800521850586,ssd,256,40000,ddpm,,1600,encodec-emb-48k,spotify_sleep_dataset
4,1716266244.0013716,0,130.4004669189453,ssd,256,40000,ddpm,,1600,encodec-emb,spotify_sleep_dataset
5,1716266488.3906794,0,31.088361740112305,ssd,256,40000,ddpm,,1600,MERT-v1-95M,spotify_sleep_dataset
6,1716266491.3577259,0,0.7559857368469238,ssd,256,40000,ddpm,,1600,clap-laion-audio,fma_pop
7,1716266494.32508,0,0.8462550044059753,ssd,256,40000,ddpm,,1600,clap-laion-music,fma_pop
8,1716266496.9113266,0,11.860357284545898,ssd,256,40000,ddpm,,1600,vggish,fma_pop
9,1716266509.9276419,0,106.0681381225586,ssd,256,40000,ddpm,,1600,encodec-emb-48k,fma_pop
10,1716266512.489686,0,382.189697265625,ssd,256,40000,ddpm,,1600,encodec-emb,fma_pop
11,1716266515.8500872,0,31.545135498046875,ssd,256,40000,ddpm,,1600,MERT-v1-95M,fma_pop
12,1716266518.6966577,0,0.7172180414199829,ssd,256,40000,ddpm,,1600,clap-laion-audio,musiccaps
13,1716266521.5645063,0,0.8187925219535828,ssd,256,40000,ddpm,,1600,clap-laion-music,musiccaps
14,1716266524.049904,0,15.814581871032715,ssd,256,40000,ddpm,,1600,vggish,musiccaps
15,1716266535.4814384,0,74.6652603149414,ssd,256,40000,ddpm,,1600,encodec-emb-48k,musiccaps
16,1716266537.9462411,0,271.0627746582031,ssd,256,40000,ddpm,,1600,encodec-emb,musiccaps
17,1716266541.1707137,0,27.36212730407715,ssd,256,40000,ddpm,,1600,MERT-v1-95M,musiccaps
18,1716685427.0473042,0,0.5807263255119324,ssd,256,40000,ddpm,,480,clap-laion-audio,spotify_sleep_dataset
19,1716685469.3704255,0,0.5818060040473938,ssd,256,40000,ddpm,,480,clap-laion-music,spotify_sleep_dataset
20,1716685492.6330333,0,5.793263912200928,ssd,256,40000,ddpm,,480,vggish,spotify_sleep_dataset
21,1716685495.4734387,0,0.7466171979904175,ssd,256,40000,ddpm,,480,clap-laion-audio,fma_pop
22,1716685498.2551472,0,0.8381322026252747,ssd,256,40000,ddpm,,480,clap-laion-music,fma_pop
23,1716685500.6572828,0,11.56423568725586,ssd,256,40000,ddpm,,480,vggish,fma_pop
24,1716685503.3744383,0,0.7072994709014893,ssd,256,40000,ddpm,,480,clap-laion-audio,musiccaps
25,1716685506.052368,0,0.8123741149902344,ssd,256,40000,ddpm,,480,clap-laion-music,musiccaps
26,1716685508.371346,0,15.557220458984375,ssd,256,40000,ddpm,,480,vggish,musiccaps
27,1716685408.864406,0,0.711883544921875,ssd,256,40000,ddpm,,40,clap-laion-audio,spotify_sleep_dataset
28,1716685436.4205177,0,0.6929975748062134,ssd,256,40000,ddpm,,40,clap-laion-music,spotify_sleep_dataset
29,1716685449.8449657,0,9.022017478942871,ssd,256,40000,ddpm,,40,vggish,spotify_sleep_dataset
30,1716685452.8263178,0,0.8707723021507263,ssd,256,40000,ddpm,,40,clap-laion-audio,fma_pop
31,1716685456.3764908,0,0.9660167098045349,ssd,256,40000,ddpm,,40,clap-laion-music,fma_pop
32,1716685462.6776738,0,14.573993682861328,ssd,256,40000,ddpm,,40,vggish,fma_pop
33,1716685468.806797,0,0.8404677510261536,ssd,256,40000,ddpm,,40,clap-laion-audio,musiccaps
34,1716685471.6567187,0,0.9550426006317139,ssd,256,40000,ddpm,,40,clap-laion-music,musiccaps
35,1716685474.0894048,0,18.656911849975586,ssd,256,40000,ddpm,,40,vggish,musiccaps
