,wall_time,step,value,dataset,resolution,model_step,sampler,fad_model,reference_dataset
0,1716553989.7933624,0,0.8838527202606201,ssd,"512,32",40000,ddpm,clap-laion-audio,spotify_sleep_dataset
1,1716554222.9399843,0,0.8106076717376709,ssd,"512,32",40000,ddpm,clap-laion-music,spotify_sleep_dataset
2,1716554378.3635635,0,7.464809894561768,ssd,"512,32",40000,ddpm,vggish,spotify_sleep_dataset
3,1716554381.2369475,0,0.8919581174850464,ssd,"512,32",40000,ddpm,clap-laion-audio,fma_pop
4,1716554384.0860522,0,0.9683353304862976,ssd,"512,32",40000,ddpm,clap-laion-music,fma_pop
5,1716554386.601921,0,10.080668449401855,ssd,"512,32",40000,ddpm,vggish,fma_pop
6,1716554389.4176748,0,0.9001428484916687,ssd,"512,32",40000,ddpm,clap-laion-audio,musiccaps
7,1716554392.181212,0,0.9623233079910278,ssd,"512,32",40000,ddpm,clap-laion-music,musiccaps
8,1716554394.681664,0,16.329153060913086,ssd,"512,32",40000,ddpm,vggish,musiccaps
9,1716553989.7139988,0,0.9610636234283447,ssd,"512,32",40000,ddim,clap-laion-audio,spotify_sleep_dataset
10,1716554222.8851368,0,0.8633407354354858,ssd,"512,32",40000,ddim,clap-laion-music,spotify_sleep_dataset
11,1716554378.5830188,0,8.086960792541504,ssd,"512,32",40000,ddim,vggish,spotify_sleep_dataset
12,1716554381.4775016,0,0.9900716543197632,ssd,"512,32",40000,ddim,clap-laion-audio,fma_pop
13,1716554384.323556,0,1.001055359840393,ssd,"512,32",40000,ddim,clap-laion-music,fma_pop
14,1716554386.8792996,0,10.556540489196777,ssd,"512,32",40000,ddim,vggish,fma_pop
15,1716554389.6310043,0,0.9943711161613464,ssd,"512,32",40000,ddim,clap-laion-audio,musiccaps
16,1716554392.389577,0,0.9997892379760742,ssd,"512,32",40000,ddim,clap-laion-music,musiccaps
17,1716554394.8014126,0,17.216453552246094,ssd,"512,32",40000,ddim,vggish,musiccaps
18,1716554198.769827,0,0.7820708155632019,ssd,"512,64",40000,ddpm,clap-laion-audio,spotify_sleep_dataset
19,1716554286.454093,0,0.7137725353240967,ssd,"512,64",40000,ddpm,clap-laion-music,spotify_sleep_dataset
20,1716554363.5342972,0,7.072004795074463,ssd,"512,64",40000,ddpm,vggish,spotify_sleep_dataset
21,1716554369.8130944,0,0.8262079358100891,ssd,"512,64",40000,ddpm,clap-laion-audio,fma_pop
22,1716554373.222553,0,0.8652488589286804,ssd,"512,64",40000,ddpm,clap-laion-music,fma_pop
23,1716554376.3764637,0,11.148565292358398,ssd,"512,64",40000,ddpm,vggish,fma_pop
24,1716554379.5504727,0,0.8266230225563049,ssd,"512,64",40000,ddpm,clap-laion-audio,musiccaps
25,1716554382.685373,0,0.8609883785247803,ssd,"512,64",40000,ddpm,clap-laion-music,musiccaps
26,1716554385.6016011,0,15.728477478027344,ssd,"512,64",40000,ddpm,vggish,musiccaps
27,1716553989.8255508,0,0.8724836707115173,ssd,"512,64",40000,ddim,clap-laion-audio,spotify_sleep_dataset
28,1716554223.0932264,0,0.7922854423522949,ssd,"512,64",40000,ddim,clap-laion-music,spotify_sleep_dataset
29,1716554378.1197686,0,7.843771934509277,ssd,"512,64",40000,ddim,vggish,spotify_sleep_dataset
30,1716554380.9303205,0,0.9122480154037476,ssd,"512,64",40000,ddim,clap-laion-audio,fma_pop
31,1716554383.739864,0,0.9205465316772461,ssd,"512,64",40000,ddim,clap-laion-music,fma_pop
32,1716554386.246351,0,10.95999813079834,ssd,"512,64",40000,ddim,vggish,fma_pop
33,1716554388.952978,0,0.9136432409286499,ssd,"512,64",40000,ddim,clap-laion-audio,musiccaps
34,1716554391.6794782,0,0.9238151907920837,ssd,"512,64",40000,ddim,clap-laion-music,musiccaps
35,1716554394.1083398,0,16.93347930908203,ssd,"512,64",40000,ddim,vggish,musiccaps
36,1716553990.0122235,0,0.5829997062683105,ssd,"512,128",40000,ddpm,clap-laion-audio,spotify_sleep_dataset
37,1716554200.7973435,0,0.5599756240844727,ssd,"512,128",40000,ddpm,clap-laion-music,spotify_sleep_dataset
38,1716554358.6829383,0,7.165397644042969,ssd,"512,128",40000,ddpm,vggish,spotify_sleep_dataset
39,1716554362.903659,0,0.7238542437553406,ssd,"512,128",40000,ddpm,clap-laion-audio,fma_pop
40,1716554367.1527061,0,0.7980619668960571,ssd,"512,128",40000,ddpm,clap-laion-music,fma_pop
41,1716554371.1201217,0,12.463749885559082,ssd,"512,128",40000,ddpm,vggish,fma_pop
42,1716554374.7863383,0,0.711954653263092,ssd,"512,128",40000,ddpm,clap-laion-audio,musiccaps
43,1716554378.5890145,0,0.7823582887649536,ssd,"512,128",40000,ddpm,clap-laion-music,musiccaps
44,1716554381.9565108,0,16.258113861083984,ssd,"512,128",40000,ddpm,vggish,musiccaps
45,1716553960.6130836,0,0.6571530103683472,ssd,"512,128",40000,ddim,clap-laion-audio,spotify_sleep_dataset
46,1716554190.8405833,0,0.6086317896842957,ssd,"512,128",40000,ddim,clap-laion-music,spotify_sleep_dataset
47,1716554369.0180006,0,6.279850006103516,ssd,"512,128",40000,ddim,vggish,spotify_sleep_dataset
48,1716554372.3108404,0,0.7741085886955261,ssd,"512,128",40000,ddim,clap-laion-audio,fma_pop
49,1716554375.1178308,0,0.8230267763137817,ssd,"512,128",40000,ddim,clap-laion-music,fma_pop
