,wall_time,step,value,dataset,resolution,model_step,sampler,selected,fad_model,reference_dataset
0,1716553960.6130836,0,0.6571530103683472,ssd,"512,128",40000,ddim,False,clap-laion-audio,spotify_sleep_dataset
1,1716554190.8405833,0,0.6086317896842957,ssd,"512,128",40000,ddim,False,clap-laion-music,spotify_sleep_dataset
2,1716554369.0180006,0,6.279850006103516,ssd,"512,128",40000,ddim,False,vggish,spotify_sleep_dataset
3,1716554372.3108404,0,0.7741085886955261,ssd,"512,128",40000,ddim,False,clap-laion-audio,fma_pop
4,1716554375.1178308,0,0.8230267763137817,ssd,"512,128",40000,ddim,False,clap-laion-music,fma_pop
5,1716554377.4791625,0,10.705581665039062,ssd,"512,128",40000,ddim,False,vggish,fma_pop
6,1716554380.2977483,0,0.7704475522041321,ssd,"512,128",40000,ddim,False,clap-laion-audio,musiccaps
7,1716554382.9732869,0,0.8298590779304504,ssd,"512,128",40000,ddim,False,clap-laion-music,musiccaps
8,1716554385.569667,0,15.227993965148926,ssd,"512,128",40000,ddim,False,vggish,musiccaps
9,1717021483.1000419,0,0.5785625576972961,ssd,"512,128",40000,ddim,True,clap-laion-audio,spotify_sleep_dataset
10,1717021626.4294057,0,0.5709526538848877,ssd,"512,128",40000,ddim,True,clap-laion-music,spotify_sleep_dataset
11,1717021667.9955573,0,5.373037338256836,ssd,"512,128",40000,ddim,True,vggish,spotify_sleep_dataset
12,1717021704.3033192,0,0.736812949180603,ssd,"512,128",40000,ddim,True,clap-laion-audio,fma_pop
13,1717021738.9734013,0,0.8314390182495117,ssd,"512,128",40000,ddim,True,clap-laion-music,fma_pop
14,1717021778.4432027,0,10.668926239013672,ssd,"512,128",40000,ddim,True,vggish,fma_pop
15,1717021805.008129,0,0.7310104966163635,ssd,"512,128",40000,ddim,True,clap-laion-audio,musiccaps
16,1717021827.123451,0,0.858262836933136,ssd,"512,128",40000,ddim,True,clap-laion-music,musiccaps
17,1717021851.625626,0,16.14304542541504,ssd,"512,128",40000,ddim,True,vggish,musiccaps
18,1716553990.0122235,0,0.5829997062683105,ssd,"512,128",40000,ddpm,False,clap-laion-audio,spotify_sleep_dataset
19,1716554200.7973435,0,0.5599756240844727,ssd,"512,128",40000,ddpm,False,clap-laion-music,spotify_sleep_dataset
20,1716554358.6829383,0,7.165397644042969,ssd,"512,128",40000,ddpm,False,vggish,spotify_sleep_dataset
21,1716554362.903659,0,0.7238542437553406,ssd,"512,128",40000,ddpm,False,clap-laion-audio,fma_pop
22,1716554367.1527061,0,0.7980619668960571,ssd,"512,128",40000,ddpm,False,clap-laion-music,fma_pop
23,1716554371.1201217,0,12.463749885559082,ssd,"512,128",40000,ddpm,False,vggish,fma_pop
24,1716554374.7863383,0,0.711954653263092,ssd,"512,128",40000,ddpm,False,clap-laion-audio,musiccaps
25,1716554378.5890145,0,0.7823582887649536,ssd,"512,128",40000,ddpm,False,clap-laion-music,musiccaps
26,1716554381.9565108,0,16.258113861083984,ssd,"512,128",40000,ddpm,False,vggish,musiccaps
27,1717021480.2191956,0,0.5092496275901794,ssd,"512,128",40000,ddpm,True,clap-laion-audio,spotify_sleep_dataset
28,1717021620.1876376,0,0.5286676287651062,ssd,"512,128",40000,ddpm,True,clap-laion-music,spotify_sleep_dataset
29,1717021690.9978967,0,5.026277542114258,ssd,"512,128",40000,ddpm,True,vggish,spotify_sleep_dataset
30,1717021704.2768812,0,0.675777792930603,ssd,"512,128",40000,ddpm,True,clap-laion-audio,fma_pop
31,1717021738.9772058,0,0.8058686256408691,ssd,"512,128",40000,ddpm,True,clap-laion-music,fma_pop
32,1717021778.4603515,0,10.610672950744629,ssd,"512,128",40000,ddpm,True,vggish,fma_pop
33,1717021805.0151722,0,0.663911759853363,ssd,"512,128",40000,ddpm,True,clap-laion-audio,musiccaps
34,1717021827.1262527,0,0.8175244331359863,ssd,"512,128",40000,ddpm,True,clap-laion-music,musiccaps
35,1717021851.6239128,0,15.922432899475098,ssd,"512,128",40000,ddpm,True,vggish,musiccaps
36,1716266066.9468226,0,0.6249386668205261,ssd,"256,256",40000,ddim,False,clap-laion-audio,spotify_sleep_dataset
37,1716266126.1264184,0,0.611859917640686,ssd,"256,256",40000,ddim,False,clap-laion-music,spotify_sleep_dataset
38,1716266140.5382824,0,5.787899017333984,ssd,"256,256",40000,ddim,False,vggish,spotify_sleep_dataset
42,1716266491.6084895,0,0.7647392749786377,ssd,"256,256",40000,ddim,False,clap-laion-audio,fma_pop
43,1716266494.5841882,0,0.8484863042831421,ssd,"256,256",40000,ddim,False,clap-laion-music,fma_pop
44,1716266497.152014,0,11.159649848937988,ssd,"256,256",40000,ddim,False,vggish,fma_pop
48,1716266519.4056227,0,0.7358289361000061,ssd,"256,256",40000,ddim,False,clap-laion-audio,musiccaps
49,1716266522.2482939,0,0.8483445048332214,ssd,"256,256",40000,ddim,False,clap-laion-music,musiccaps
50,1716266524.6908073,0,15.183123588562012,ssd,"256,256",40000,ddim,False,vggish,musiccaps
54,1717079359.887018,0,0.5750883221626282,ssd,"256,256",40000,ddim,True,clap-laion-audio,spotify_sleep_dataset
55,1717079448.0749621,0,0.5926377177238464,ssd,"256,256",40000,ddim,True,clap-laion-music,spotify_sleep_dataset
56,1717079484.7803993,0,5.021100997924805,ssd,"256,256",40000,ddim,True,vggish,spotify_sleep_dataset
57,1717079488.6166031,0,0.7430624961853027,ssd,"256,256",40000,ddim,True,clap-laion-audio,fma_pop
58,1717079493.0856798,0,0.8720949292182922,ssd,"256,256",40000,ddim,True,clap-laion-music,fma_pop
59,1717079497.1414506,0,11.16373062133789,ssd,"256,256",40000,ddim,True,vggish,fma_pop
60,1717079500.9398096,0,0.7095054984092712,ssd,"256,256",40000,ddim,True,clap-laion-audio,musiccaps
61,1717079504.7423596,0,0.8949587345123291,ssd,"256,256",40000,ddim,True,clap-laion-music,musiccaps
62,1717079508.1890345,0,16.582801818847656,ssd,"256,256",40000,ddim,True,vggish,musiccaps
63,1716266052.924708,0,0.5899614095687866,ssd,"256,256",40000,ddpm,False,clap-laion-audio,spotify_sleep_dataset
64,1716266108.625991,0,0.5942221879959106,ssd,"256,256",40000,ddpm,False,clap-laion-music,spotify_sleep_dataset
65,1716266116.905505,0,6.104685306549072,ssd,"256,256",40000,ddpm,False,vggish,spotify_sleep_dataset
69,1716266491.3577259,0,0.7559857368469238,ssd,"256,256",40000,ddpm,False,clap-laion-audio,fma_pop
70,1716266494.32508,0,0.8462550044059753,ssd,"256,256",40000,ddpm,False,clap-laion-music,fma_pop
71,1716266496.9113266,0,11.860357284545898,ssd,"256,256",40000,ddpm,False,vggish,fma_pop
75,1716266518.6966577,0,0.7172180414199829,ssd,"256,256",40000,ddpm,False,clap-laion-audio,musiccaps
76,1716266521.5645063,0,0.8187925219535828,ssd,"256,256",40000,ddpm,False,clap-laion-music,musiccaps
77,1716266524.049904,0,15.814581871032715,ssd,"256,256",40000,ddpm,False,vggish,musiccaps
81,1717079359.6016803,0,0.5362650156021118,ssd,"256,256",40000,ddpm,True,clap-laion-audio,spotify_sleep_dataset
82,1717079444.0138555,0,0.5681216716766357,ssd,"256,256",40000,ddpm,True,clap-laion-music,spotify_sleep_dataset
83,1717079483.3457143,0,4.900670051574707,ssd,"256,256",40000,ddpm,True,vggish,spotify_sleep_dataset
84,1717079488.6738737,0,0.7117878794670105,ssd,"256,256",40000,ddpm,True,clap-laion-audio,fma_pop
85,1717079493.1422784,0,0.8598564863204956,ssd,"256,256",40000,ddpm,True,clap-laion-music,fma_pop
86,1717079497.1982102,0,11.014888763427734,ssd,"256,256",40000,ddpm,True,vggish,fma_pop
87,1717079500.9990065,0,0.6702293157577515,ssd,"256,256",40000,ddpm,True,clap-laion-audio,musiccaps
88,1717079504.798743,0,0.865206778049469,ssd,"256,256",40000,ddpm,True,clap-laion-music,musiccaps
89,1717079508.2463973,0,16.309038162231445,ssd,"256,256",40000,ddpm,True,vggish,musiccaps
