,wall_time,step,value,dataset,resolution,model_step,sampler,vae,fad_model,reference_dataset
0,1716550233.820987,0,1.174448847770691,ds,"256,256",100,ddpm,vae,clap-laion-audio,fma_pop
1,1716550239.629969,0,1.1604208946228027,ds,"256,256",100,ddpm,vae,clap-laion-music,fma_pop
2,1716550243.0049994,0,19.601179122924805,ds,"256,256",100,ddpm,vae,vggish,fma_pop
3,1716550245.7274327,0,1.1234863996505737,ds,"256,256",100,ddpm,vae,clap-laion-audio,musiccaps
4,1716550248.4885933,0,1.078583002090454,ds,"256,256",100,ddpm,vae,clap-laion-music,musiccaps
5,1716550251.293934,0,23.51206398010254,ds,"256,256",100,ddpm,vae,vggish,musiccaps
6,1716550272.8463762,0,1.1707112789154053,ds,"256,256",100,ddim,vae,clap-laion-audio,fma_pop
7,1716550279.993203,0,1.1558881998062134,ds,"256,256",100,ddim,vae,clap-laion-music,fma_pop
8,1716550284.833153,0,19.511564254760742,ds,"256,256",100,ddim,vae,vggish,fma_pop
9,1716550288.632855,0,1.1195158958435059,ds,"256,256",100,ddim,vae,clap-laion-audio,musiccaps
10,1716550292.3717017,0,1.0748928785324097,ds,"256,256",100,ddim,vae,clap-laion-music,musiccaps
11,1716550295.7417161,0,23.444412231445312,ds,"256,256",100,ddim,vae,vggish,musiccaps
12,1716551149.63948,0,1.0986250638961792,ds,"256,256",500,ddpm,vae,clap-laion-audio,fma_pop
13,1716551156.0370026,0,1.1164332628250122,ds,"256,256",500,ddpm,vae,clap-laion-music,fma_pop
14,1716551160.4451776,0,12.555328369140625,ds,"256,256",500,ddpm,vae,vggish,fma_pop
15,1716551163.7683337,0,1.0546236038208008,ds,"256,256",500,ddpm,vae,clap-laion-audio,musiccaps
16,1716551166.980709,0,1.0525213479995728,ds,"256,256",500,ddpm,vae,clap-laion-music,musiccaps
17,1716551169.9463594,0,17.409894943237305,ds,"256,256",500,ddpm,vae,vggish,musiccaps
18,1716550665.4985182,0,1.091164231300354,ds,"256,256",500,ddim,vae,clap-laion-audio,fma_pop
19,1716550670.9406297,0,1.1123405694961548,ds,"256,256",500,ddim,vae,clap-laion-music,fma_pop
20,1716550674.2148998,0,12.509969711303711,ds,"256,256",500,ddim,vae,vggish,fma_pop
21,1716550676.9417043,0,1.0463895797729492,ds,"256,256",500,ddim,vae,clap-laion-audio,musiccaps
22,1716550679.528533,0,1.0439891815185547,ds,"256,256",500,ddim,vae,clap-laion-music,musiccaps
23,1716550681.7590883,0,17.244384765625,ds,"256,256",500,ddim,vae,vggish,musiccaps
24,1716549284.0539255,0,1.296920657157898,ds,"256,256",1000,ddpm,vae,clap-laion-audio,fma_pop
25,1716549291.3465157,0,1.273936152458191,ds,"256,256",1000,ddpm,vae,clap-laion-music,fma_pop
